id,title,author,text,label,verdict
0,Hillary Clinton Adopts Alien Baby,Mike Hunt,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
1,Hillary Clinton Adopts Alien Baby,Anonymous,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
2,NASA Launches New Mars Rover,CNN,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
3,NASA Confirms Earth Will Experience 15 Days of Darkness,Mike Hunt,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
4,Hillary Clinton Adopts Alien Baby,Mike Hunt,A suppressed report suggests vaccines are linked to mind control.,1,fake
5,NASA Launches New Mars Rover,CNN,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
6,NASA Confirms Earth Will Experience 15 Days of Darkness,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
7,Global Markets Rally Ahead of Fed Meeting,AP News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
8,Breakthrough in Cancer Research Announced,The Guardian,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
9,Clinton Foundation Exposed in Leaked Documents,Mike Hunt,A suppressed report suggests vaccines are linked to mind control.,1,fake
10,Elections 2024: What the Polls Say,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
11,Hillary Clinton Adopts Alien Baby,John Doe,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
12,BREAKING: Obama Caught Wiretapping Trump Tower,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
13,NASA Launches New Mars Rover,BBC News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
14,Breakthrough in Cancer Research Announced,Reuters,New polling data offers insight into the upcoming 2024 presidential election.,0,real
15,Breakthrough in Cancer Research Announced,Reuters,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
16,Elections 2024: What the Polls Say,The Guardian,New polling data offers insight into the upcoming 2024 presidential election.,0,real
17,Breakthrough in Cancer Research Announced,Reuters,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
18,Breakthrough in Cancer Research Announced,AP News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
19,NASA Confirms Earth Will Experience 15 Days of Darkness,Mike Hunt,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
20,Clinton Foundation Exposed in Leaked Documents,Jane Smith,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
21,Global Markets Rally Ahead of Fed Meeting,BBC News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
22,Shocking Truth About Vaccines Finally Revealed,Admin,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
23,NASA Confirms Earth Will Experience 15 Days of Darkness,Anonymous,A suppressed report suggests vaccines are linked to mind control.,1,fake
24,Shocking Truth About Vaccines Finally Revealed,John Doe,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
25,NASA Launches New Mars Rover,The Guardian,New polling data offers insight into the upcoming 2024 presidential election.,0,real
